epochs,training,validation
213.0000,0.6509,0.6348
214.0000,0.6520,0.6305
215.0000,0.6543,0.6306
216.0000,0.6490,0.6322
217.0000,0.6511,0.6304
218.0000,0.6523,0.6301
219.0000,0.6517,0.6307
220.0000,0.6506,0.6347
221.0000,0.6528,0.6307
222.0000,0.6525,0.6306
223.0000,0.6529,0.6366
224.0000,0.6535,0.6304
225.0000,0.6525,0.6305
226.0000,0.6513,0.6303
227.0000,0.6502,0.6301
228.0000,0.6504,0.6306
229.0000,0.6519,0.6300
230.0000,0.6525,0.6302
231.0000,0.6520,0.6300
232.0000,0.6512,0.6325
233.0000,0.6580,0.6306
234.0000,0.6534,0.6308
235.0000,0.6526,0.6303
236.0000,0.6538,0.6317
237.0000,0.6509,0.6304
238.0000,0.6511,0.6306
239.0000,0.6524,0.6302
240.0000,0.6540,0.6305
241.0000,0.6519,0.6302
242.0000,0.6493,0.6298
243.0000,0.6523,0.6298
244.0000,0.6548,0.6312
245.0000,0.6533,0.6303
246.0000,0.6518,0.6304
247.0000,0.6517,0.6302
248.0000,0.6532,0.6311
249.0000,0.6531,0.6319
250.0000,0.6543,0.6310
