epochs,training,validation
213.0000,0.0094,3.9408
214.0000,0.0096,4.4409
215.0000,0.0074,4.0669
216.0000,0.0091,4.3631
217.0000,0.0113,3.9584
218.0000,0.0094,4.4762
219.0000,0.0078,4.1011
220.0000,0.0099,3.9639
221.0000,0.0072,4.1066
222.0000,0.0072,4.4491
223.0000,0.0079,3.9591
224.0000,0.0069,4.4886
225.0000,0.0089,3.5890
226.0000,0.0089,4.0008
227.0000,0.0089,4.1220
228.0000,0.0073,4.6945
229.0000,0.0071,4.4638
230.0000,0.0106,4.2975
231.0000,0.0097,3.9675
232.0000,0.0064,4.4604
233.0000,0.0080,4.1525
234.0000,0.0068,4.3509
235.0000,0.0068,4.6878
236.0000,0.0078,4.2661
237.0000,0.0070,4.2798
238.0000,0.0079,4.4964
239.0000,0.0081,4.3107
240.0000,0.0070,4.5617
241.0000,0.0059,4.8466
242.0000,0.0057,4.4505
243.0000,0.0066,4.7843
244.0000,0.0067,4.3569
245.0000,0.0065,4.5684
246.0000,0.0064,4.8446
247.0000,0.0055,4.5914
248.0000,0.0053,4.1086
249.0000,0.0073,4.3263
250.0000,0.0057,4.8383
